Date,Weekday,Holiday
1901-01-01,Tuesday,New Years Day
1901-02-12,Tuesday,LincolnsBirthday
1901-02-22,Friday,Washingtons Birthday
1901-04-05,Friday,Good Friday Day
1901-05-30,Thursday,Memorial Day
1901-07-04,Thursday,IndependenceDay
1901-07-05,Friday,DayAfterIndepedenceDay
1901-09-02,Monday,Labor Day
1901-09-19,Thursday,PresidentialFuneral-WilliamMcKinley
1901-11-05,Tuesday,ElectionDay
1901-11-28,Thursday,Thanks giving
1901-12-25,Wednesday,Christmas
1902-01-01,Wednesday,New Years Day
1902-02-12,Wednesday,LincolnsBirthday
1902-02-21,Friday,Washingtons Birthday (observed)
1902-03-28,Friday,Good Friday Day
1902-05-30,Friday,Memorial Day
1902-07-04,Friday,IndependenceDay
1902-09-01,Monday,Labor Day
1902-11-04,Tuesday,ElectionDay
1902-11-27,Thursday,Thanks giving
1902-12-25,Thursday,Christmas
1903-01-01,Thursday,New Years Day
1903-02-12,Thursday,LincolnsBirthday
1903-02-23,Monday,Washingtons Birthday (observed)
1903-04-10,Friday,Good Friday Day
1903-04-22,Wednesday,NewNYSEBuildingOpened
1903-05-29,Friday,Memorial Day (observed)
1903-07-03,Friday,Independence Day (observed)
1903-09-07,Monday,Labor Day
1903-11-03,Tuesday,ElectionDay
1903-11-26,Thursday,Thanks giving
1903-12-25,Friday,Christmas
1904-01-01,Friday,New Years Day
1904-02-12,Friday,LincolnsBirthday
1904-02-22,Monday,Washingtons Birthday
1904-04-01,Friday,Good Friday Day
1904-05-30,Monday,Memorial Day
1904-07-04,Monday,IndependenceDay
1904-09-05,Monday,Labor Day
1904-11-08,Tuesday,ElectionDay
1904-11-24,Thursday,Thanks giving
1904-12-26,Monday,Christmas (observed)
1905-01-02,Monday,New Years Day (observed)
1905-02-13,Monday,LincolnsBirthday (observed)
1905-02-22,Wednesday,Washingtons Birthday
1905-04-21,Friday,Good Friday Day
1905-05-30,Tuesday,Memorial Day
1905-07-04,Tuesday,IndependenceDay
1905-09-04,Monday,Labor Day
1905-11-07,Tuesday,ElectionDay
1905-11-30,Thursday,Thanks giving
1905-12-25,Monday,Christmas
1906-01-01,Monday,New Years Day
1906-02-12,Monday,LincolnsBirthday
1906-02-22,Thursday,Washingtons Birthday
1906-05-30,Wednesday,Memorial Day
1906-07-04,Wednesday,IndependenceDay
1906-09-03,Monday,Labor Day
1906-11-06,Tuesday,ElectionDay
1906-11-29,Thursday,Thanks giving
1906-12-25,Tuesday,Christmas
1907-01-01,Tuesday,New Years Day
1907-02-12,Tuesday,LincolnsBirthday
1907-02-22,Friday,Washingtons Birthday
1907-05-30,Thursday,Memorial Day
1907-07-04,Thursday,IndependenceDay
1907-09-02,Monday,Labor Day
1907-11-05,Tuesday,ElectionDay
1907-11-28,Thursday,Thanks giving
1907-12-25,Wednesday,Christmas
1908-01-01,Wednesday,New Years Day
1908-02-12,Wednesday,LincolnsBirthday
1908-02-21,Friday,Washingtons Birthday (observed)
1908-04-17,Friday,Good Friday Day
1908-05-29,Friday,Memorial Day (observed)
1908-07-03,Friday,Independence Day (observed)
1908-09-07,Monday,Labor Day
1908-11-03,Tuesday,ElectionDay
1908-11-26,Thursday,Thanks giving
1908-12-25,Friday,Christmas
1909-01-01,Friday,New Years Day
1909-02-12,Friday,LincolnsBirthday
1909-02-22,Monday,Washingtons Birthday
1909-04-09,Friday,Good Friday Day
1909-05-31,Monday,Memorial Day (observed)
1909-07-05,Monday,Independence Day (observed)
1909-09-06,Monday,Labor Day
1909-10-12,Tuesday,ColumbusDay
1909-11-02,Tuesday,ElectionDay
1909-11-25,Thursday,Thanks giving
1909-12-24,Friday,Christmas (observed)
1910-02-11,Friday,LincolnsBirthday (observed)
1910-02-22,Tuesday,Washingtons Birthday
1910-03-25,Friday,Good Friday Day
1910-05-30,Monday,Memorial Day
1910-07-04,Monday,IndependenceDay
1910-09-05,Monday,Labor Day
1910-10-12,Wednesday,ColumbusDay
1910-11-08,Tuesday,ElectionDay
1910-11-24,Thursday,Thanks giving
1910-12-26,Monday,Christmas (observed)
1911-01-02,Monday,New Years Day (observed)
1911-02-13,Monday,LincolnsBirthday (observed)
1911-02-22,Wednesday,Washingtons Birthday
1911-04-14,Friday,Good Friday Day
1911-05-30,Tuesday,Memorial Day
1911-07-04,Tuesday,IndependenceDay
1911-09-04,Monday,Labor Day
