Symbol          Name
AA_3.F          ALUMINIUM ALLOY 3M
AA_C.F          ALUMINIUM ALLOY CASH
AH_3.F          ALUMINIUM 3M
AH_C.F          ALUMINIUM CASH
CA_3.F          COPPER 3M
CA_C.F          COPPER CASH
CO_3.F          COBALT 3M
CO_C.F          COBALT CASH
FM_3.F          STEEL BILLET 3M
FM_C.F          STEEL BILLET CASH
MO_3.F          MOLYBDENUM 3M
MO_C.F          MOLYBDENUM CASH
NA_3.F          NASAAC 3M
NA_C.F          NASAAC CASH
NI_3.F          NICKEL 3M
NI_C.F          NICKEL CASH
PB_3.F          LEAD 3M
PB_C.F          LEAD CASH
SN_3.F          TIN 3M
SN_C.F          TIN CASH
ZS_3.F          ZINC 3M
ZS_C.F          ZINC CASH
A6.F            AUSTRALIAN DOLLAR FUTURE
B6.F            BRITISH POUND FUTURE
CA.F            LONDON COCOA FUTURE
CC.F            COCOA FUTURE
CL.F            WTI OIL FUTURE
CLCHF.F         WTI OIL CHF FUTURE
CLEUR.F         WTI OIL EUR FUTURE
CLPLN.F         WTI OIL PLN FUTURE
CT.F            COTTON #2 FUTURE
D6.F            CANADIAN DOLLAR FUTURE
DJ.F            DOW JONES FUTURE
DX.F            US DOLLAR INDEX FUTURE
DY.F            DAX FUTURE
E6.F            EURO FUTURE
ES.F            S&P500 FUTURE
FBUX.F          BUX FUTURE
FHSI.F          HANG SENG FUTURE
FSMI.F          SMI FUTURE
FX.F            DJ EURO STOXX50 FUTURE
G.F             LONG GILT FUTURE
GC.F            GOLD FUTURE
GCCHF.F         GOLD CHF FUTURE
GCEUR.F         GOLD EUR FUTURE
GCPLN.F         GOLD PLN FUTURE
GE.F            EURODOLLAR FUTURE
GF.F            FEEDER CATTLE FUTURE
GG.F            BUND FUTURE
HG.F            COPPER FUTURE
HGCHF.F         COPPER CHF FUTURE
HGEUR.F         COPPER EUR FUTURE
HGPLN.F         COPPER PLN FUTURE
HO.F            HEATING OIL FUTURE
HR.F            BOBL FUTURE
J6.F            JAPANESE YEN FUTURE
JGB.F           JGB 10Y FUTURE
KC.F            COFFEE 'C' FUTURE
KE.F            WHEAT KCBT FUTURE
LB.F            LUMBER FUTURE
LC.F            LIVE CATTLE FUTURE
LF.F            GAS OIL FUTURE
LH.F            LEAN HOGS FUTURE
MW.F            WHEAT SPRING FUTURE
MX.F            CAC40 FUTURE
NG.F            NATURAL GAS FUTURE
NK.F            NIKKEI225 FUTURE
NQ.F            NASDAQ100 FUTURE
OJ.F            ORANGE JUICE FUTURE
PA.F            PALLADIUM FUTURE
PL.F            PLATINUM FUTURE
RB.F            GASOLINE FUTURE
RJ.F            RUSSELL2000 FUTURE
RM.F            LONDON COFFEE FUTURE
RS.F            CANOLA FUTURE
S6.F            SWISS FRANC FUTURE
SB.F            SUGAR #11 FUTURE
SC.F            BRENT OIL FUTURE
SI.F            SILVER FUTURE
SICHF.F         SILVER CHF FUTURE
SIEUR.F         SILVER EUR FUTURE
SIPLN.F         SILVER PLN FUTURE
SW.F            LONDON SUGAR FUTURE
X.F             FTSE100 FUTURE
ZB.F            US 30Y BOND FUTURE
ZC.F            CORN FUTURE
ZF.F            US 5Y NOTE FUTURE
ZL.F            SOYBEAN OIL FUTURE
ZM.F            SOYBEAN MEAL FUTURE
ZN.F            US 10Y NOTE FUTURE
ZR.F            ROUGH RICE FUTURE
ZS.F            SOYBEAN FUTURE
ZW.F            WHEAT FUTURE
^AEX            AEX
^AOR            ALL ORDINARIES
^ATH            ATHEX COMP
^BEL20          BEL20
^BET            BET
^BUX            BUX
^BVP            BOVESPA
^CAC            CAC40
^CDAX           CDAX
^CRY            CRB INDEX
^DAX            DAX
^DJC            DOW JONES COMP
^DJI            DOW JONES INDU
^DJT            DOW JONES TRANS
^DJU            DOW JONES UTIL
^FMIB           FTSE MIB
^FTM            FTSE250
^HEX            HEX
^HSI            HANG SENG
^IBEX           IBEX35
^ICEX           ICEX
^IPC            IPC
^IPSA           IPSA
^JCI            JCI
^KLCI           KLCI
^KOSPI          KOSPI
^MDAX           MDAX
^MICEX          MICEX
^MRV            MERVAL
^NDQ            NASDAQ COMP
^NDX            NASDAQ100
^NKX            NIKKEI225
^NZ50           NZX50
^OMXR           OMX RIGA
^OMXS           OMX STOCKHOLM
^OMXT           OMX TALLINN
^OMXV           OMX VILNIUS
^OSEAX          OSE
^PSEI           PSEI
^PSI20          PSI20
^PX             PX
^RTS            RTS
^SAX            SAX
^SDXP           SDAX
^SET            SET
^SHBS           SSE B-SHARE
^SHC            SSE COMP
^SMI            SMI
^SNX            SENSEX
^SOFIX          SOFIX
^SPX            S&P500
^STI            STRAITS TIMES
^TDXP           TECDAX
^TSX            S&P/TSX COMP
^TWSE           TAIEX
^UKX            UK100
^UX             UX
^XU100          XU100
CNOCNY1M        SHIBOR CNY 1M
CNOCNY1W        SHIBOR CNY 1W
CNOCNY1Y        SHIBOR CNY 1Y
CNOCNY2W        SHIBOR CNY 2W
CNOCNY3M        SHIBOR CNY 3M
CNOCNY6M        SHIBOR CNY 6M
CNOCNY9M        SHIBOR CNY 9M
CNOCNYON        SHIBOR CNY OVERNIGHT
EUOEUR1M        EURIBOR EUR 1M
EUOEUR1W        EURIBOR EUR 1W
EUOEUR1Y        EURIBOR EUR 1Y
EUOEUR2M        EURIBOR EUR 2M
EUOEUR2W        EURIBOR EUR 2W
EUOEUR3M        EURIBOR EUR 3M
EUOEUR6M        EURIBOR EUR 6M
EUOEUR9M        EURIBOR EUR 9M
HKOHKD1M        HIBOR HKD 1M
HKOHKD1W        HIBOR HKD 1W
HKOHKD1Y        HIBOR HKD 1Y
HKOHKD2M        HIBOR HKD 2M
HKOHKD2W        HIBOR HKD 2W
HKOHKD3M        HIBOR HKD 3M
HKOHKD6M        HIBOR HKD 6M
HKOHKDON        HIBOR HKD OVERNIGHT
HUOHUF1M        BUBOR HUF 1M
HUOHUF1W        BUBOR HUF 1W
HUOHUF1Y        BUBOR HUF 1Y
HUOHUF2M        BUBOR HUF 2M
HUOHUF2W        BUBOR HUF 2W
HUOHUF3M        BUBOR HUF 3M
HUOHUF6M        BUBOR HUF 6M
HUOHUF9M        BUBOR HUF 9M
HUOHUFON        BUBOR HUF OVERNIGHT
PLBPLN1M        WIBID PLN 1M
PLBPLN1W        WIBID PLN 1W
PLBPLN1Y        WIBID PLN 1Y
PLBPLN2W        WIBID PLN 2W
PLBPLN3M        WIBID PLN 3M
PLBPLN6M        WIBID PLN 6M
PLBPLN9M        WIBID PLN 9M
PLBPLNON        WIBID PLN OVERNIGHT
PLBPLNTN        WIBID PLN TN
PLOPLN1M        WIBOR PLN 1M
PLOPLN1W        WIBOR PLN 1W
PLOPLN1Y        WIBOR PLN 1Y
PLOPLN2W        WIBOR PLN 2W
PLOPLN3M        WIBOR PLN 3M
PLOPLN6M        WIBOR PLN 6M
PLOPLN9M        WIBOR PLN 9M
PLOPLNON        WIBOR PLN OVERNIGHT
PLOPLNTN        WIBOR PLN TN
UKOCHF1M        LIBOR CHF 1M
UKOCHF1W        LIBOR CHF 1W
UKOCHF1Y        LIBOR CHF 1Y
UKOCHF2M        LIBOR CHF 2M
UKOCHF3M        LIBOR CHF 3M
UKOCHF6M        LIBOR CHF 6M
UKOCHFON        LIBOR CHF OVERNIGHT
UKOEUR1M        LIBOR EUR 1M
UKOEUR1W        LIBOR EUR 1W
UKOEUR1Y        LIBOR EUR 1Y
UKOEUR2M        LIBOR EUR 2M
UKOEUR3M        LIBOR EUR 3M
UKOEUR6M        LIBOR EUR 6M
UKOEURON        LIBOR EUR OVERNIGHT
UKOGBP1M        LIBOR GBP 1M
UKOGBP1W        LIBOR GBP 1W
UKOGBP1Y        LIBOR GBP 1Y
UKOGBP2M        LIBOR GBP 2M
UKOGBP3M        LIBOR GBP 3M
UKOGBP6M        LIBOR GBP 6M
UKOGBPON        LIBOR GBP OVERNIGHT
UKOJPY1M        LIBOR JPY 1M
UKOJPY1W        LIBOR JPY 1W
UKOJPY1Y        LIBOR JPY 1Y
UKOJPY2M        LIBOR JPY 2M
UKOJPY3M        LIBOR JPY 3M
UKOJPY6M        LIBOR JPY 6M
UKOJPYON        LIBOR JPY OVERNIGHT
UKOUSD1M        LIBOR USD 1M
UKOUSD1W        LIBOR USD 1W
UKOUSD1Y        LIBOR USD 1Y
UKOUSD2M        LIBOR USD 2M
UKOUSD3M        LIBOR USD 3M
UKOUSD6M        LIBOR USD 6M
UKOUSDON        LIBOR USD OVERNIGHT
10ATY.B         AUSTRIA 10Y BOND YIELD
10AUY.B         AUSTRALIA 10Y BOND YIELD
10BEY.B         BELGIUM 10Y BOND YIELD
10CAY.B         CANADA 10Y BOND YIELD
10CHY.B         SWITZERLAND 10Y BOND YIELD
10CNY.B         CHINA 10Y BOND YIELD
10CZY.B         CZECH 10Y BOND YIELD
10DEY.B         GERMANY 10Y BOND YIELD
10DKY.B         DENMARK 10Y BOND YIELD
10ESY.B         SPAIN 10Y BOND YIELD
10FIY.B         FINLAND 10Y BOND YIELD
10FRY.B         FRANCE 10Y BOND YIELD
10GRY.B         GREECE 10Y BOND YIELD
10HUY.B         HUNGARY 10Y BOND YIELD
10IDY.B         INDONESIA 10Y BOND YIELD
10INY.B         INDIA 10Y BOND YIELD
10ITY.B         ITALY 10Y BOND YIELD
10JPY.B         JAPAN 10Y BOND YIELD
10KRY.B         S.KOREA 10Y BOND YIELD
10MYY.B         MALAYSIA 10Y BOND YIELD
10NLY.B         NETHERLANDS 10Y BOND YIELD
10PLY.B         POLAND 10Y BOND YIELD
10PTY.B         PORTUGAL 10Y BOND YIELD
10ROY.B         ROMANIA 10Y BOND YIELD
10RUY.B         RUSSIA 10Y BOND YIELD
10SEY.B         SWEDEN 10Y BOND YIELD
10SGY.B         SINGAPORE 10Y BOND YIELD
10TRY.B         TURKEY 10Y BOND YIELD
10UKY.B         UK 10Y BOND YIELD
10USY.B         US 10Y BOND YIELD
2USY.B          US 2Y BOND YIELD
30USY.B         US 30Y BOND YIELD
